lastUpdated,title,url
" This page was last edited on 25 June 2024, at 22:24",,https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 12 June 2022, at 14:34",,https://en.wikipedia.org/wiki/Kevin_Bacon_(disambiguation)
" This page was last edited on 14 July 2024, at 20:14",,https://en.wikipedia.org/wiki/Michael_Bacon_(musician)
" This page was last edited on 10 November 2023, at 20:01",,https://en.wikipedia.org/wiki/Leading_man
" This page was last edited on 27 April 2024, at 02:38",,https://en.wikipedia.org/wiki/Edmund_Bacon_(architect)
" This page was last edited on 14 July 2024, at 00:10",,https://en.wikipedia.org/wiki/Sosie_Bacon
" This page was last edited on 7 July 2024, at 05:05",,https://en.wikipedia.org/wiki/Kevin_Bacon_filmography
" This page was last edited on 23 April 2024, at 09:11",,https://en.wikipedia.org/wiki/Peabody_Awards
" This page was last edited on 16 July 2024, at 10:00",,https://en.wikipedia.org/wiki/Kyra_Sedgwick
" This page was last edited on 8 June 2024, at 22:08",,https://en.wikipedia.org/wiki/Character_actor
" This page was last edited on 15 July 2024, at 06:12",[<Selector query='//h1/i/text()' data='Footloose'>],https://en.wikipedia.org/wiki/Footloose_(1984_film)
" This page was last edited on 16 June 2024, at 07:49",,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award
" This page was last edited on 14 July 2024, at 08:17",,https://en.wikipedia.org/wiki/Golden_Globe_Award
" This page was last edited on 21 July 2024, at 19:11",[<Selector query='//h1/i/text()' data='Animal House'>],https://en.wikipedia.org/wiki/National_Lampoon%27s_Animal_House
" This page was last edited on 22 July 2024, at 03:00",,https://en.wikipedia.org/wiki/Primetime_Emmy_Award
" This page was last edited on 15 March 2024, at 14:37", (1997 film),https://en.wikipedia.org/wiki/Picture_Perfect_(1997_film)
" This page was last edited on 22 July 2024, at 13:24",,https://en.wikipedia.org/wiki/Philadelphia
" This page was last edited on 17 July 2024, at 09:00",,https://en.wikipedia.org/wiki/Colin_Firth
" This page was last edited on 27 June 2024, at 20:36",[<Selector query='//h1/i/text()' data='Hollingsworth v. Perry'>],https://en.wikipedia.org/wiki/Perry_v._Brown
" This page was last edited on 23 May 2024, at 17:32",Welcome to ,https://en.wikipedia.org/wiki/Main_Page
